,date,state,fips,cases,deaths
29215,2021-08-15,Washington,53,508631,6287
29270,2021-08-16,Washington,53,516226,6295
29325,2021-08-17,Washington,53,518604,6317
29380,2021-08-18,Washington,53,522390,6346
29435,2021-08-19,Washington,53,526305,6378
29490,2021-08-20,Washington,53,530094,6401
29545,2021-08-21,Washington,53,530203,6401
29600,2021-08-22,Washington,53,530203,6401
29655,2021-08-23,Washington,53,538206,6427
29710,2021-08-24,Washington,53,541672,6475
29765,2021-08-25,Washington,53,544623,6506
29820,2021-08-26,Washington,53,548608,6537
29875,2021-08-27,Washington,53,553077,6567
29930,2021-08-28,Washington,53,553077,6567
29985,2021-08-29,Washington,53,553077,6567
30040,2021-08-30,Washington,53,561423,6591
30095,2021-08-31,Washington,53,564787,6638
30150,2021-09-01,Washington,53,568881,6671
30205,2021-09-02,Washington,53,573736,6704
30260,2021-09-03,Washington,53,577569,6749
30315,2021-09-04,Washington,53,577569,6749
30370,2021-09-05,Washington,53,577720,6749
30425,2021-09-06,Washington,53,577902,6749
30480,2021-09-07,Washington,53,588803,6797
30535,2021-09-08,Washington,53,592468,6856
30590,2021-09-09,Washington,53,596505,6920
30645,2021-09-10,Washington,53,599971,6977
30700,2021-09-11,Washington,53,599971,6977
30755,2021-09-12,Washington,53,600184,6982
30810,2021-09-13,Washington,53,609292,7042
30865,2021-09-14,Washington,53,612363,7095
30920,2021-09-15,Washington,53,616119,7143
30975,2021-09-16,Washington,53,619605,7199
31030,2021-09-17,Washington,53,623254,7256
31085,2021-09-18,Washington,53,623254,7256
31140,2021-09-19,Washington,53,623254,7256
31195,2021-09-20,Washington,53,630603,7319
31250,2021-09-21,Washington,53,633534,7372
31306,2021-09-22,Washington,53,635636,7423
31362,2021-09-23,Washington,53,640094,7487
31418,2021-09-24,Washington,53,643183,7537
31474,2021-09-25,Washington,53,643183,7537
31530,2021-09-26,Washington,53,643285,7537
31586,2021-09-27,Washington,53,651511,7578
31642,2021-09-28,Washington,53,654532,7641
31698,2021-09-29,Washington,53,657284,7704
31754,2021-09-30,Washington,53,660467,7780
31810,2021-10-01,Washington,53,663560,7824
31866,2021-10-02,Washington,53,663560,7824
31922,2021-10-03,Washington,53,663660,7824
31978,2021-10-04,Washington,53,670371,7861
32034,2021-10-05,Washington,53,672888,7909
32090,2021-10-06,Washington,53,675511,7970
32146,2021-10-07,Washington,53,678381,8017
32202,2021-10-08,Washington,53,680744,8068
32258,2021-10-09,Washington,53,680744,8068
32314,2021-10-10,Washington,53,680808,8068
32370,2021-10-11,Washington,53,686430,8120
32426,2021-10-12,Washington,53,688894,8120
32482,2021-10-13,Washington,53,691863,8214
32538,2021-10-14,Washington,53,694843,8263
32594,2021-10-15,Washington,53,697362,8295
