,STNAME,CTYNAME,POPESTIMATE2019
1268,Michigan,Charlevoix County,26143
1269,Michigan,Cheboygan County,25276
1270,Michigan,Chippewa County,37349
1271,Michigan,Clare County,30950
1272,Michigan,Clinton County,79595
1273,Michigan,Crawford County,14029
1274,Michigan,Delta County,35784
1275,Michigan,Dickinson County,25239
1276,Michigan,Eaton County,110268
1277,Michigan,Emmet County,33415
1278,Michigan,Genesee County,405813
1279,Michigan,Gladwin County,25449
1280,Michigan,Gogebic County,13975
1281,Michigan,Grand Traverse County,93088
1282,Michigan,Gratiot County,40711
1283,Michigan,Hillsdale County,45605
1284,Michigan,Houghton County,35684
1285,Michigan,Huron County,30981
1286,Michigan,Ingham County,292406
1287,Michigan,Ionia County,64697
1288,Michigan,Iosco County,25127
1289,Michigan,Iron County,11066
1290,Michigan,Isabella County,69872
1291,Michigan,Jackson County,158510
1292,Michigan,Kalamazoo County,265066
1293,Michigan,Kalkaska County,18038
1294,Michigan,Kent County,656955
1295,Michigan,Keweenaw County,2116
1296,Michigan,Lake County,11853
1297,Michigan,Lapeer County,87607
1298,Michigan,Leelanau County,21761
1299,Michigan,Lenawee County,98451
1300,Michigan,Livingston County,191995
1301,Michigan,Luce County,6229
1302,Michigan,Mackinac County,10799
1303,Michigan,Macomb County,873972
1304,Michigan,Manistee County,24558
1305,Michigan,Marquette County,66699
1306,Michigan,Mason County,29144
1307,Michigan,Mecosta County,43453
1308,Michigan,Menominee County,22780
1309,Michigan,Midland County,83156
1310,Michigan,Missaukee County,15118
1311,Michigan,Monroe County,150500
1312,Michigan,Montcalm County,63888
1313,Michigan,Montmorency County,9328
1314,Michigan,Muskegon County,173566
1315,Michigan,Newaygo County,48980
1316,Michigan,Oakland County,1257584
1317,Michigan,Oceana County,26467
1318,Michigan,Ogemaw County,20997
1319,Michigan,Ontonagon County,5720
1320,Michigan,Osceola County,23460
1321,Michigan,Oscoda County,8241
1322,Michigan,Otsego County,24668
1323,Michigan,Ottawa County,291830
1324,Michigan,Presque Isle County,12592
1325,Michigan,Roscommon County,24019
1326,Michigan,Saginaw County,190539
1327,Michigan,St. Clair County,159128
1328,Michigan,St. Joseph County,60964
1329,Michigan,Sanilac County,41170
1330,Michigan,Schoolcraft County,8094
1331,Michigan,Shiawassee County,68122
1332,Michigan,Tuscola County,52245
1333,Michigan,Van Buren County,75677
1334,Michigan,Washtenaw County,367601
1335,Michigan,Wayne County,1749343
1336,Michigan,Wexford County,33631
1337,Minnesota,Minnesota,5639632
1338,Minnesota,Aitkin County,15886
1339,Minnesota,Anoka County,356921
1340,Minnesota,Becker County,34423
1341,Minnesota,Beltrami County,47188
1342,Minnesota,Benton County,40889
1343,Minnesota,Big Stone County,4991
1344,Minnesota,Blue Earth County,67653
1345,Minnesota,Brown County,25008
1346,Minnesota,Carlton County,35871
1347,Minnesota,Carver County,105089
1348,Minnesota,Cass County,29779
1349,Minnesota,Chippewa County,11800
1350,Minnesota,Chisago County,56579
1351,Minnesota,Clay County,64222
1352,Minnesota,Clearwater County,8818
1353,Minnesota,Cook County,5463
1354,Minnesota,Cottonwood County,11196
1355,Minnesota,Crow Wing County,65055
1356,Minnesota,Dakota County,429021
1357,Minnesota,Dodge County,20934
1358,Minnesota,Douglas County,38141
1359,Minnesota,Faribault County,13653
1360,Minnesota,Fillmore County,21067
1361,Minnesota,Freeborn County,30281
1362,Minnesota,Goodhue County,46340
1363,Minnesota,Grant County,5972
1364,Minnesota,Hennepin County,1265843
1365,Minnesota,Houston County,18600
1366,Minnesota,Hubbard County,21491
1367,Minnesota,Isanti County,40596
1368,Minnesota,Itasca County,45130
1369,Minnesota,Jackson County,9846
1370,Minnesota,Kanabec County,16337
1371,Minnesota,Kandiyohi County,43199
1372,Minnesota,Kittson County,4298
